state_code,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,first_funding_year,last_funding_year
CA,2009-04-01,2010-01-01,2.2493,3.0027,4.6685,6.7041,3,375000,3,1,0,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,1,2009,2010
CA,2005-02-14,2009-12-28,5.126,9.9973,7.0055,7.0055,4,40100000,1,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,1,2005,2009
CA,2010-03-30,2010-03-30,1.0329,1.0329,1.4575,2.2055,1,2600000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,1,2010,2010
CA,2005-02-17,2007-04-25,3.1315,5.3151,6.0027,6.0027,3,40000000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,1,2005,2007
CA,2010-08-01,2012-04-01,0.0,1.6685,0.0384,0.0384,2,1300000,1,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,0,2010,2012
CA,2006-07-18,2006-07-18,4.5452,4.5452,5.0027,5.0027,1,7500000,1,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,2006,2006
CA,2006-09-21,2010-03-18,1.7205,5.211,3.0,6.6082,3,26000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,1,2006,2010
CA,2005-08-24,2010-10-04,1.6466,6.7616,5.6055,7.3616,3,34100000,3,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,1,2005,2010
MA,2005-08-02,2013-02-08,3.5863,11.1123,8.0055,9.9945,3,9650000,4,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,1,2005,2013
CA,2007-02-01,2010-02-05,1.6712,4.6849,2.9178,6.1151,3,5750000,4,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,1,2007,2010
CA,2005-07-01,2010-04-26,4.6274,9.4493,10.1342,10.6493,3,27500000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,1,2005,2010
CA,2007-02-01,2011-05-03,1.0849,5.3370000000000015,-0.6164,4.6082,5,10400000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,0,2007,2011
KY,2008-11-25,2008-11-25,4.9041,4.9041,2.5205,4.4767,1,350000,0,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,2008,2008
NY,2007-12-03,2010-05-03,0.0192,2.4356,0.7945,4.3781,3,9950000,3,0,1,0,0,0,education,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,1,2007,2010
CO,2005-08-31,2009-12-29,4.6658,8.9973,8.8384,8.8384,5,10700000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,1,2005,2009
VA,2005-08-09,2005-08-09,6.6082,6.6082,2.5205,4.4767,1,200000,0,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,2005,2005
CA,2005-08-02,2009-10-05,2.5863,6.7644,5.5014,5.5014,5,49000000,1,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,0,2005,2009
CA,2005-02-01,2007-09-01,4.5918,7.1726,-0.4986,12.6795,4,25000000,3,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,1,2005,2007
NY,2010-09-29,2011-08-01,0.7425,1.5808,1.2849,3.0027,3,4575000,3,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,1,2010,2011
CA,2009-07-02,2009-10-30,2.5014,2.8301,3.0877,3.4932,2,28000000,3,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,0,2009,2009
TX,2003-03-20,2004-10-14,2.2137,3.7863,4.0877,9.4986,2,4355000,3,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,1,2003,2004
WA,2007-10-31,2007-10-31,3.8329,3.8329,3.7507,3.7507,1,15000000,1,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,0,2007,2007
CA,2007-06-28,2007-06-28,5.4904,5.4904,0.0,0.0,1,3170000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,2007,2007
CA,2007-01-01,2011-04-25,-1.0,3.3151,3.6959,5.662999999999999,2,2300000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,0,2007,2011
