id,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,first_funding_year,last_funding_year
1005,CA,42.35888,-71.05682,92101,c:6669,San Diego,San Francisco CA 94105,Bandsintown,1,1/1/2007,2013-06-01,2009-04-01,2010-01-01,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,CA,1,0,0,0,0,music,0,0,0,0,0,0,0,0,0,1,c:6669,0,1,0,0,0,0,1.0,0,acquired,2009,2010
204,CA,37.238916,-121.973718,95032,c:16283,Los Gatos,San Francisco CA 94105,TriCipher,1,1/1/2000,2013-06-01,2005-02-14,2009-12-28,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:16283,1,0,0,1,1,1,4.75,1,acquired,2005,2009
1001,CA,32.901049,-117.192656,92121,c:65620,San Diego,San Diego CA 92121,Plixi,1,3/18/2009,2013-06-01,2010-03-30,2010-03-30,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:65620,0,0,1,0,0,0,4.0,1,acquired,2010,2010
738,CA,37.320309,-122.05004,95014,c:42668,Cupertino,Cupertino CA 95014,Solidcore Systems,1,1/1/2002,2013-06-01,2005-02-17,2007-04-25,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:42668,0,0,0,1,1,1,3.3333,1,acquired,2005,2007
1002,CA,37.779281,-122.419236,94105,c:65806,San Francisco,San Francisco CA 94105,Inhale Digital,0,8/1/2010,2012-10-01,2010-08-01,2012-04-01,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:65806,1,1,0,0,0,0,1.0,1,closed,2010,2012
379,CA,37.406914,-122.09037,94043,c:22898,Mountain View,Mountain View CA 94043,Matisse Networks,0,1/1/2002,2009-02-15,2006-07-18,2006-07-18,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,CA,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:22898,0,0,0,1,0,0,3.0,1,closed,2006,2006
195,CA,37.3915589,-122.0702643,94041,c:16191,Mountain View,San Francisco CA 94105,RingCube Technologies,1,1/1/2005,2013-06-01,2006-09-21,2010-03-18,1.7205,5.211,3.0,6.6082,6,3,26000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:16191,1,0,1,1,0,0,1.6667,1,acquired,2006,2010
875,CA,38.057107,-122.513742,94901,c:5192,San Rafael,San Francisco CA 94105,ClairMail,1,1/1/2004,2013-06-01,2005-08-24,2010-10-04,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,CA,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,c:5192,0,0,1,1,0,1,3.5,1,acquired,2005,2010
16,MA,42.712207,-73.203599,1267,c:1043,Williamstown,Williamstown MA 1267,VoodooVox,1,1/1/2002,2013-06-01,2005-08-02,2013-02-08,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:1043,1,0,1,0,0,1,4.0,1,acquired,2005,2013
846,CA,37.427235,-122.145783,94306,c:498,Palo Alto,San Francisco CA 94105,Doostang,1,6/1/2005,2013-06-01,2007-02-01,2010-02-05,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:498,1,1,1,0,0,0,1.0,1,acquired,2007,2010
685,CA,37.4429885,-122.1624131,94025,c:3949,Menlo Park,San Francisco CA 94105,Zong,1,11/15/2000,2013-06-01,2005-07-01,2010-04-26,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:3949,0,0,1,1,0,0,1.0,1,acquired,2005,2010
835,CA,37.452992,-122.185098,94025,c:4829,Menlo Park,San Francisco CA 94105,Center'd,0,1/1/2006,2011-12-02,2007-02-01,2011-05-03,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:4829,1,1,1,0,0,0,1.75,1,closed,2007,2011
531,KY,38.241467,-85.72451099999998,40204,c:30290,Louisville,San Francisco CA 94105,Resonant Vibes,0,1/1/2004,2012-04-27,2008-11-25,2008-11-25,4.9041,4.9041,2.5205,4.4767,0,1,350000,0,KY,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:30290,1,0,0,0,0,0,1.0,0,closed,2008,2008
137,NY,40.70276,-73.98666800000002,11201,c:1491,Brooklyn,San Francisco CA 94105,drop.io,1,11/26/2007,2013-06-01,2007-12-03,2010-05-03,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,NY,0,1,0,0,0,education,0,0,0,0,0,0,0,0,0,1,c:1491,0,0,1,1,1,0,2.3333,1,acquired,2007,2010
162,CO,39.74627279999999,-104.9911572,80202,c:15645,Denver,San Francisco CA 94105,Stratavia,1,1/1/2001,2013-06-01,2005-08-31,2009-12-29,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,CO,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:15645,0,0,1,1,0,0,2.5,1,acquired,2005,2009
898,VA,38.901301,-77.265158,22182,c:54177,Vienna,Vienna VA 22182,Invicta Networks,0,1/1/1999,2010-03-28,2005-08-09,2005-08-09,6.6082,6.6082,2.5205,4.4767,0,1,200000,0,VA,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,c:54177,1,0,0,0,0,0,1.0,0,closed,2005,2005
235,CA,37.39628270000001,-122.105531,94022,c:16770,Los Altos,San Francisco CA 94105,QSecure,0,1/1/2003,2012-09-22,2005-08-02,2009-10-05,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,CA,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,c:16770,1,0,1,1,1,1,3.5,1,closed,2005,2009
25,CA,37.590339,-122.341715,94010,c:107,Burlingame,San Francisco CA 94105,MeeVee,1,7/1/2000,2013-06-01,2005-02-01,2007-09-01,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:107,0,0,1,1,1,1,3.5,1,acquired,2005,2007
858,NY,40.730646,-73.986614,10004,c:50727,New York,New York NY 10004,SinglePlatform,1,1/1/2010,2013-06-01,2010-09-29,2011-08-01,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:50727,0,1,1,0,0,0,5.0,1,acquired,2010,2011
454,CA,37.446411,-122.16054,94301,c:26368,Palo Alto,San Francisco CA 94105,Bling Nation,0,1/1/2007,2011-09-10,2009-07-02,2009-10-30,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:26368,0,0,1,1,0,0,1.0,1,closed,2009,2009
369,TX,30.2350399,-97.80012990000002,78735,c:22291,Austin,San Francisco CA 94105,Metreos Corporation,1,1/1/2001,2013-06-01,2003-03-20,2004-10-14,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,TX,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,c:22291,0,1,1,0,0,0,1.5,0,acquired,2003,2004
289,WA,47.6026054,-122.2848651,98122,c:17857,Seattle,San Francisco CA 94105,Hidden City Games,0,1/1/2004,2011-09-28,2007-10-31,2007-10-31,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,WA,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,c:17857,0,0,0,1,0,0,2.0,1,closed,2007,2007
177,CA,37.426316,-122.141082,94306,c:15888,Palo Alto,San Francisco CA 94105,Neopolitan Networks,0,1/1/2002,2008-07-25,2007-06-28,2007-06-28,5.4904,5.4904,0.0,0.0,1,1,3170000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:15888,0,0,1,0,0,0,2.0,0,closed,2007,2007
26,CA,37.764395,-122.401024,94103,c:10751,San Francisco,San Francisco CA 94105,Pixelpipe,0,1/1/2008,2013-08-02,2007-01-01,2011-04-25,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:10751,0,1,1,0,0,0,2.0,0,closed,2007,2011
803,CO,40.010492,-105.276843,80302,c:458,Boulder,San Francisco CA 94105,EventVue,0,5/1/2007,2010-02-01,2007-08-01,2007-09-01,0.2521,0.337,2.5205,4.4767,5,2,455000,0,CO,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,c:458,0,1,1,0,0,0,4.5,1,closed,2007,2007
797,IL,41.875555,-87.624421,60601,c:45525,Chicago,Chicago IL 60601,BridgePort Networks,1,1/1/2002,2013-06-01,2006-11-03,2006-11-03,4.8411,4.8411,1.0,1.0,3,1,13000000,1,IL,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:45525,0,0,0,0,1,0,4.0,1,acquired,2006,2006
572,CA,37.429676,-122.1085482,94303,c:3193,Palo Alto,San Francisco CA 94105,Scalent Systems,1,1/1/2003,2013-06-01,2007-01-22,2007-01-22,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,CA,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:3193,0,0,0,0,1,0,4.0,1,acquired,2007,2007
503,CA,37.870102,-122.268136,94704,c:28456,Berkeley,Berkeley CA 94704,IQ Engines,1,6/1/2008,2013-06-01,2012-06-25,2012-06-25,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,CA,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,c:28456,0,0,0,1,0,0,2.0,1,acquired,2012,2012
642,TX,30.2653441,-97.7435857,78701,c:36920,Austin,San Francisco CA 94105,"RetailMeNot, Inc.",1,5/1/2007,2013-06-01,2009-11-01,2011-11-10,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,TX,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,c:36920,1,0,1,0,1,0,1.75,1,acquired,2009,2011
625,CA,33.708708,-117.852069,92705,c:35712,Santa Ana,Santa Ana CA 92705,Mophie,1,5/24/2005,2013-06-01,2006-08-01,2006-08-01,1.189,1.189,2.189,7.7753,5,1,1000000,3,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:35712,1,0,0,0,0,0,2.0,1,acquired,2006,2006
355,CA,37.422859,-122.045217,94035,c:21492,Moffett Field,Moffett Field CA 94035,Airship Ventures,0,1/1/2007,2012-11-14,2008-05-09,2009-03-01,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,CA,1,0,0,0,0,other,0,0,0,0,0,0,0,0,0,1,c:21492,0,0,1,1,0,0,2.0,1,closed,2008,2009
510,WA,47.603832,-122.330062,98119,c:28768,Seattle,Seattle WA 98119,Lockdown Networks,1,1/1/2001,2013-06-01,2005-02-25,2006-03-02,4.1534,5.1671,3.0,3.0,6,2,8600000,1,WA,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,c:28768,1,0,0,1,0,0,1.5,1,acquired,2005,2006
485,NC,36.002893,-78.904075,27701,c:27741,Durham,San Francisco CA 94105,eMinor,0,10/1/2006,2012-02-17,2006-08-01,2008-10-07,-0.1671,2.0192,2.5205,4.4767,9,2,5000000,0,NC,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:27741,0,0,1,1,0,0,2.5,1,closed,2006,2008
145,CA,37.779281,-122.419236,94105,c:150658,San Francisco,San Francisco CA 94105,Karma,1,1/1/2011,2013-06-01,2011-01-01,2011-11-14,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:150658,1,0,0,0,0,0,5.0,1,acquired,2011,2011
605,PA,40.441694,-79.990086,15219,c:34338,Pittsburgh,Pittsburgh PA 15219,Zipano,0,6/1/2009,2012-05-27,2009-07-01,2009-07-01,0.0822,0.0822,2.5205,4.4767,2,1,25000,0,PA,0,0,0,0,1,security,0,0,0,0,0,0,0,0,0,1,c:34338,0,1,0,0,0,0,1.0,0,closed,2009,2009
785,NY,40.73901,-73.997259,10011,c:45111,New York,New York NY 10011,Entertainment Media Works,0,7/1/2004,2008-10-01,2007-02-26,2007-02-26,2.6575,2.6575,0.0,0.0,1,1,4000000,1,NY,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:45111,0,0,0,1,0,0,1.0,1,closed,2007,2007
562,CA,37.791137,-122.391843,94111,c:3178,San Francisco,San Francisco CA 94105,Elastra,0,1/1/2007,2011-01-28,2007-08-15,2008-08-05,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3178,0,0,1,1,0,0,2.0,1,closed,2007,2008
619,CA,37.404788,-121.940842,95134,c:35402,San Jose,San Jose CA 95134,RPO,0,1/1/2005,2013-06-01,2006-01-24,2010-09-13,1.063,5.7014,2.5205,4.4767,0,3,44000000,0,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:35402,0,0,0,1,1,0,4.5,1,closed,2006,2010
378,CA,37.7795014,-122.3948712,94107,c:22856,San Francisco,San Francisco CA 94105,Fotomoto,1,10/1/2008,2013-06-01,2008-12-01,2011-05-26,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,CA,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,c:22856,0,1,1,0,0,0,2.3333,1,acquired,2008,2011
63,NY,40.755446,-73.980246,10010,c:1224,New York,San Francisco CA 94105,Peer39,1,3/1/2006,2013-06-01,2006-03-01,2012-01-24,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,NY,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:1224,1,1,1,1,1,0,2.75,1,acquired,2006,2012
65,GA,33.756806,-84.392198,30303,c:1234,Atlanta,San Francisco CA 94105,Vitrue,1,5/1/2006,2013-06-01,2006-05-01,2011-02-17,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,GA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:1234,0,0,1,1,1,0,3.0,1,acquired,2006,2011
139,NH,42.99564,-71.454789,3101,c:149809,Manchester,Manchester NH 3101,Trendslide,1,8/1/2011,2013-06-01,2011-08-01,2012-03-01,0.0,0.5836,0.5836,0.5945,9,2,125000,2,NH,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,c:149809,0,1,0,0,0,0,1.0,0,acquired,2011,2012
98,CA,40.01573320000001,-105.275027,94025,c:13733,Menlo Park,San Francisco CA 94105,PublicEarth,0,1/1/2008,2011-02-15,2008-02-08,2010-05-21,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,CA,1,0,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,c:13733,1,0,1,0,0,0,1.0,1,closed,2008,2010
681,WA,47.63609,-122.327028,98102,c:39106,Seattle,San Francisco CA 94105,Azaleos,1,5/11/2004,2013-06-01,2007-11-06,2007-11-06,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,WA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:39106,0,0,0,0,1,0,2.0,1,acquired,2007,2007
